Time (UTC),T2(Model),Temp(Obs),Obs-Model,WD(Model),WD(Obs),Obs-Model,WS(Model),WS(Obs),Obs-Model,SWDown(Model), SWLower,Obs-Model,SWUpper
05-11-2020  19,23.86502,19.50125,-4.36377,288.30606,200.9722,-87.33386,1.05911,0.4815138,-0.5775962,0,3.997,3.997,1.166
05-11-2020  20,23.41019,18.98333,-4.42686,288.21951,224.75,-63.46951,1.14585,0.4053472,-0.7405028,0,4.501,4.501,0.385
05-11-2020  21,22.41553,18.825,-3.59053,268.24542,252.2736,-15.97182,1.08475,0.6986945,-0.3860555,0,4.237,4.237,0.038
05-11-2020  22,21.29044,18.74875,-2.54169,259.20361,282.425,23.22139,1.02815,1.258653,0.230503,0,4.706,4.706,-1.709
05-11-2020  23,20.87534,18.15805,-2.71729,258.46329,275.5722,17.10891,0.96916,1.096667,0.127507,0,4.671,4.671,-1.244
06-11-2020  00,20.56403,17.61847,-2.94556,279.37897,277.8792,-1.49977,1.3454,0.8374722,-0.5079278,0,4.453,4.453,-0.223
06-11-2020  01,20.10153,17.73875,-2.36278,264.50778,275.6764,11.16862,1.5074,1.083347,-0.424053,0,4.158,4.158,-0.379
06-11-2020  02,20.20621,17.46458,-2.74163,263.60931,275.882,12.27269,1.42273,0.7500416,-0.6726884,78.09682,4.561,-73.53582,3.728
06-11-2020  03,22.18427,17.39694,-4.78733,261.60443,281.8944,20.28997,1.32528,0.976625,-0.348655,255.29059,12.16,-243.13059,49.7
06-11-2020  04,24.51514,18.83958,-5.67556,272.24039,281.9528,9.71241,1.72665,1.240361,-0.486289,434.83038,25.94,-408.89038,159.3
06-11-2020  05,27.33322,20.83097,-6.50225,292.59369,284.825,-7.76869,0.74378,1.7765,1.03272,580.42926,42.16,-538.26926,275.5
06-11-2020  06,29.48306,23.05583,-6.42723,279.23364,272.9958,-6.23784,0.64763,1.872264,1.224634,666.97754,71.24,-595.73754,378.1
06-11-2020  07,30.75534,24.88667,-5.86867,289.94455,285.0583,-4.88625,1.32443,2.267111,0.942681,673.18579,83.5,-589.68579,450.4
06-11-2020  08,31.86642,26.75153,-5.11489,303.5192,305.7542,2.235,5.43262,1.948097,-3.484523,602.27094,86.9,-515.37094,479.7
06-11-2020  09,31.31308,28.24208,-3.071,315.28503,301.1208,-14.16423,2.56376,2.066806,-0.496954,0,77.85,77.85,421.4
06-11-2020  10,30.52579,28.90667,-1.61912,328.96707,311.8181,-17.14897,6.28931,2.410194,-3.879116,311.89191,65.33,-246.56191,341.2
06-11-2020  11,30.16272,29.38556,-0.77716,316.96719,325.2486,8.28141,4.57141,2.241917,-2.329493,132.96024,44.96,-88.00024,220.9
06-11-2020  12,28.99911,28.70417,-0.29494,299.27606,318.9417,19.66564,2.69543,1.504486,-1.190944,3.28172,20.66,17.37828,81.2
06-11-2020  13,28.04883,27.14236,-0.90647,314.43188,291.2195,-23.21238,1.91191,1.494736,-0.417174,0,7.566,7.566,6.568
06-11-2020  14,27.3967,25.35653,-2.04017,347.35962,283.5625,-63.79712,1.23168,1.180445,-0.051235,0,6.324,6.324,0.046
06-11-2020  15,27.08142,23.67972,-3.4017,58.17564,267.7375,209.56186,0.64575,0.645875,0.000125,0,5.18,5.18,0.591
06-11-2020  16,26.16043,22.62305,-3.53738,5.96933,279.6903,273.72097,0.80227,0.556875,-0.245395,0,4.39,4.39,1.336
06-11-2020  17,25.52496,22.06292,-3.46204,265.59259,150.5847,-115.00789,0.90483,0.5593472,-0.3454828,0,4.773,4.773,0.154
06-11-2020  18,24.70905,21.5925,-3.11655,278.05728,174.0208,-104.03648,1.34255,0.4247916,-0.9177584,0,4.469,4.469,-0.466
06-11-2020  19,23.22238,21.59528,-1.6271,227.5181,222.4306,-5.0875,1.07441,0.7153333,-0.3590767,0,4.666,4.666,-0.085
06-11-2020  20,22.37067,20.74819,-1.62248,245.32812,274.0083,28.68018,1.15604,0.9204583,-0.2355817,0,3.206,3.206,1.1
06-11-2020  21,21.90952,19.56375,-2.34577,218.15404,259.0486,40.89456,1.22389,0.7660278,-0.4578622,0,4.738,4.738,-0.215
06-11-2020  22,20.91074,18.46416,-2.44658,217.47372,268.6361,51.16238,1.56597,0.6715278,-0.8944422,0,4.786,4.786,0.049
06-11-2020  23,20.48929,18.19486,-2.29443,229.58134,271.1847,41.60336,1.43317,0.9750694,-0.4581006,0,4.333,4.333,-0.764
07-11-2020  00,20.15665,17.93347,-2.22318,215.98363,268.8889,52.90527,1.27946,1.243764,-0.035696,0,4.47,4.47,-2.066
07-11-2020  01,20.00674,17.31,-2.69674,222.74496,280.9222,58.17724,1.43704,1.414333,-0.022707,0,4.495,4.495,-2.108
07-11-2020  02,20.24591,16.91347,-3.33244,252.67851,273.9208,21.24229,1.83488,1.500514,-0.334366,76.99413,5.037,-71.95713,0.899
07-11-2020  03,21.51834,16.97111,-4.54723,269.26788,275.7805,6.51262,2.41402,1.664944,-0.749076,261.73303,13.22,-248.51303,58.07
07-11-2020  04,23.5083,17.78319,-5.72511,269.0918,294.7903,25.6985,1.78033,1.568806,-0.211524,447.90216,28.53,-419.37216,181.3
07-11-2020  05,26.10239,19.73778,-6.36461,287.70267,293.0792,5.37653,1.44078,2.182111,0.741331,594.3811,48.78,-545.6011,324.7
07-11-2020  06,28.34592,22.83333,-5.51259,293.185,306.4181,13.2331,1.78415,1.952805,0.168655,674.88055,78.64,-596.24055,446.9
07-11-2020  07,30.21198,25.28417,-4.92781,323.63031,318.5667,-5.06361,2.90882,2.773667,-0.135153,684.97699,90.2,-594.77699,514.4
07-11-2020  08,30.83002,26.70694,-4.12308,295.17145,315.1555,19.98405,5.35214,3.330181,-2.021959,630.34076,90.8,-539.54076,509.5
07-11-2020  09,30.91922,27.73805,-3.18117,312.94012,327.993,15.05288,3.43968,3.531069,0.091389,0,84.3,84.3,468.2
07-11-2020  10,30.52515,28.28361,-2.24154,301.57642,330.5833,29.00688,4.06247,3.568056,-0.494414,337.83905,64.93,-272.90905,336.4
07-11-2020  11,29.66681,28.475,-1.19181,300.79205,323.3931,22.60105,5.02086,3.247222,-1.773638,140.23259,44.78,-95.45259,216.2
07-11-2020  12,28.53787,27.89264,-0.64523,306.37515,317.1931,10.81795,2.32634,1.929361,-0.396979,2.66067,20.6,17.93933,81
07-11-2020  13,27.91296,26.16555,-1.74741,320.2536,296.7542,-23.4994,1.3221,1.078931,-0.243169,0,7.999,7.999,7.043
07-11-2020  14,27.18991,24.67583,-2.51408,309.24786,288.5236,-20.72426,1.50651,1.205611,-0.300899,0,6.207,6.207,1.051
07-11-2020  15,26.41147,23.3225,-3.08897,293.21762,220.0611,-73.15652,1.38033,0.5025694,-0.8777606,0,5.842,5.842,0.515
07-11-2020  16,25.55466,22.07764,-3.47702,290.82529,153.7764,-137.04889,0.76698,0.4369027,-0.3300773,0,5.634,5.634,0.493
07-11-2020  17,24.49753,21.06972,-3.42781,232.28226,218.3972,-13.88506,1.16812,0.607875,-0.560245,0,5.263,5.263,0.464
07-11-2020  18,22.98175,19.87805,-3.1037,216.57716,189.7444,-26.83276,1.23434,0.3227083,-0.9116317,0,4.888,4.888,-0.036
07-11-2020  19,22.67978,19.50167,-3.17811,224.0399,185.6528,-38.3871,1.23209,0.52775,-0.70434,0,4.146,4.146,0.049
07-11-2020  20,22.30399,19.0668,-3.23719,236.59322,273.5597,36.96648,1.35755,0.8299306,-0.5276194,0,4.134,4.134,0.127
07-11-2020  21,21.73407,18.92917,-2.8049,242.38092,265.0056,22.62468,1.85238,1.038625,-0.813755,0,4.543,4.543,-1.503
07-11-2020  22,21.14774,18.31736,-2.83038,249.76729,278.9972,29.22991,2.36703,0.8387361,-1.5282939,0,4.125,4.125,-0.09
07-11-2020  23,20.44336,17.91097,-2.53239,258.43582,257.0667,-1.36912,1.81802,0.7256943,-1.0923257,0,4.632,4.632,-0.571
08-11-2020  00,19.86383,17.46514,-2.39869,254.75494,271.5153,16.76036,1.48678,1.085847,-0.400933,0,4.643,4.643,-0.76
08-11-2020  01,19.40591,17.23694,-2.16897,251.16513,269.4944,18.32927,1.13664,1.299569,0.162929,0,4.571,4.571,-2.063
08-11-2020  02,19.61203,16.30833,-3.3037,253.04568,290.3556,37.30992,0.95258,0.6821527,-0.2704273,75.69342,4.607,-71.08642,2.283
08-11-2020  03,20.81464,16.18889,-4.62575,261.34619,194.7222,-66.62399,1.40924,0.3032639,-1.1059761,258.99234,11.31,-247.68234,42.88
08-11-2020  04,23.0683,17.75056,-5.31774,267.68689,218.6236,-49.06329,1.28693,0.7420138,-0.5449162,441.92029,22.37,-419.55029,125.4
08-11-2020  05,25.9223,20.04611,-5.87619,280.40237,290.5097,10.10733,0.89036,0.7555972,-0.1347628,586.64978,33.23,-553.41978,221.9
08-11-2020  06,28.49908,22.30569,-6.19339,296.8855,295.1625,-1.723,0.74522,0.9159444,0.1707244,666.39398,59.85,-606.54398,319.4
08-11-2020  07,30.08221,24.10708,-5.97513,318.15738,299.8847,-18.27268,0.08998,1.0205,0.93052,666.75232,70.06,-596.69232,348.7
08-11-2020  08,30.85165,25.52389,-5.32776,322.80179,281.1958,-41.60599,3.07195,1.197236,-1.874714,591.59198,76.15,-515.44198,389.8
08-11-2020  09,30.51028,26.78597,-3.72431,316.7265,248.1333,-68.5932,2.22745,1.487306,-0.740144,0,71.39,71.39,367.4
08-11-2020  10,30.37164,27.61958,-2.75206,304.52374,237.4014,-67.12234,3.3453,1.781931,-1.563369,292.82629,56.66,-236.16629,278.8
08-11-2020  11,29.81134,27.89736,-1.91398,322.82703,210.0569,-112.77013,3.98468,2.299653,-1.685027,130.17589,42.94,-87.23589,201.2
08-11-2020  12,28.59985,27.04486,-1.55499,301.59671,191.9403,-109.65641,2.82405,1.080958,-1.743092,1.83875,19.42,17.58125,71.39
08-11-2020  13,27.51608,25.07889,-2.43719,344.90839,180.5556,-164.35279,2.17623,0.7283333,-1.4478967,0,7.457,7.457,7.799
08-11-2020  14,26.88913,22.90486,-3.98427,3.57042,230.7195,227.14908,1.23983,0.2984166,-0.9414134,0,5.3,5.3,0.885
08-11-2020  15,26.14575,21.43,-4.71575,20.02034,177.6819,157.66156,1.23531,0.4358333,-0.7994767,0,5.177,5.177,0.637
08-11-2020  16,25.43448,20.65861,-4.77587,46.6281,227.0542,180.4261,1.21508,0.5556527,-0.6594273,0,4.595,4.595,0.764
08-11-2020  17,24.87994,19.50361,-5.37633,77.75536,213.8264,136.07104,1.06547,0.2731389,-0.7923311,0,4.282,4.282,0.473
