Time (UTC),T2(Model),Temp(Obs),Obs-Model,WD(Model),WD(Obs),Obs-Model,WS(Model),WS(Obs),Obs-Model,SWDown(Model), SWLower,Obs-Model,SWUpper
19-11-2020  02,17.77814,14.46861,-3.30953,250.85934,182.0736,-68.78574,1.07983,0.4716805,-0.6081495,59.51555,4.372,-55.14355,1.631
19-11-2020  03,18.89001,14.70514,-4.18487,279.08142,214.2306,-64.85082,1.31795,0.5077639,-0.8101861,246.02344,10.89,-235.13344,51.74
19-11-2020  04,20.76834,15.775,-4.99334,291.40787,296.1125,4.70463,1.24999,1.843847,0.593857,431.42462,24.8,-406.62462,188.3
19-11-2020  05,22.79443,17.77472,-5.01971,315.67374,278.7389,-36.93484,1.01376,1.286125,0.272365,576.32849,36.66,-539.66849,328.9
19-11-2020  06,24.33621,21.15736,-3.17885,300.32004,229.7167,-70.60334,2.35093,0.9112778,-1.4396522,651.84778,66.04,-585.80778,474.6
19-11-2020  07,25.43185,21.89472,-3.53713,342.17407,248.1486,-94.02547,1.11676,2.148264,1.031504,667.12933,77.3,-589.82933,558.7
19-11-2020  08,26.21539,22.47361,-3.74178,358.04858,271.6347,-86.41388,4.17457,2.69643,-1.47814,638.10425,81,-557.10425,589.6
19-11-2020  09,25.70602,23.3907,-2.31532,304.46335,295.2325,-9.23085,2.8835,2.327209,-0.556291,0,70,70,483.5
19-11-2020  10,25.20276,23.43431,-1.76845,312.06439,296.8236,-15.24079,4.27317,3.26575,-1.00742,324.09924,61.99,-262.10924,401.8
19-11-2020  11,24.5871,23.64417,-0.94293,318.88177,302.25,-16.63177,4.6641,2.395292,-2.268808,137.13159,41.35,-95.78159,240.2
19-11-2020  12,23.56094,23.06222,-0.49872,294.42554,195.7319,-98.69364,4.66773,2.286667,-2.381063,0,18.37,18.37,80.5
19-11-2020  13,22.89398,22.03,-0.86398,341.99286,165.4764,-176.51646,3.37854,1.893042,-1.485498,0,7.694,7.694,4.266
19-11-2020  14,22.13425,21.23708,-0.89717,346.09222,159.4875,-186.60472,2.30881,2.124389,-0.184421,0,6.757,6.757,-1.265
19-11-2020  15,21.33893,19.99111,-1.34782,354.07098,36.78472,-317.28626,2.21961,1.975541,-0.244069,0,6.345,6.345,-1.35
19-11-2020  16,20.67535,18.34486,-2.33049,354.81152,92,-262.81152,1.94439,1.076208,-0.868182,0,5.692,5.692,0.401
19-11-2020  17,20.14517,17.55042,-2.59475,339.35748,97.67917,-241.67831,1.73929,1.002472,-0.736818,0,5.069,5.069,0
19-11-2020  18,19.68811,16.73,-2.95811,335.25223,65.65139,-269.60084,1.97032,0.7264306,-1.2438894,0,5.655,5.655,0.596
19-11-2020  19,19.15543,16.13847,-3.01696,325.15451,173.9528,-151.20171,1.38297,0.3729305,-1.0100395,0,5.698,5.698,0.127
19-11-2020  20,18.85782,15.8325,-3.02532,324.63544,272.632,-52.00344,1.8244,0.7723333,-1.0520667,0,4.781,4.781,0.357
19-11-2020  21,18.3017,15.13889,-3.16281,302.59183,282.5653,-20.02653,1.03683,1.184444,0.147614,0,5.151,5.151,-0.754
19-11-2020  22,17.96997,14.71708,-3.25289,301.32983,295.925,-5.40483,1.19498,0.8943472,-0.3006328,0,5.22,5.22,0.166
19-11-2020  23,17.61981,15.63875,-1.98106,295.41275,330.0778,34.66505,1.10451,2.188028,1.083518,0,5.108,5.108,-2.326
20-11-2020  00,17.2973,15.44792,-1.84938,293.5181,291.1792,-2.3389,1.45149,1.891361,0.439871,0,5.382,5.382,-2.561
20-11-2020  01,17.02661,15.06222,-1.96439,297.72778,325.2653,27.53752,1.97396,1.446542,-0.527418,0,5.394,5.394,-1.343
20-11-2020  02,17.13211,14.69125,-2.44086,301.02917,321.5667,20.53753,1.54151,1.518722,-0.022788,61.15268,5.467,-55.68568,0.679
20-11-2020  03,18.64377,14.44917,-4.1946,315.64081,288.6875,-26.95331,2.70746,2.08493,-0.62253,251.18646,15.01,-236.17646,73.68
20-11-2020  04,20.65991,14.23708,-6.42283,321.26184,275.2333,-46.02854,3.62436,2.803722,-0.820638,438.07559,30.19,-407.88559,223.1
20-11-2020  05,22.70517,16.05069,-6.65448,325.58783,290.6208,-34.96703,4.09228,2.722597,-1.369683,586.62622,45.85,-540.77622,396.3
20-11-2020  06,24.4213,18.31167,-6.10963,328.82977,299.9167,-28.91307,4.92936,2.641903,-2.287457,671.15454,72.57,-598.58454,530.2
20-11-2020  07,25.35846,20.37264,-4.98582,303.48279,313.3514,9.86861,6.16755,3.38418,-2.78337,685.85242,84.4,-601.45242,615.1
20-11-2020  08,25.35284,21.94083,-3.41201,307.6684,317.1833,9.5149,7.48393,4.208694,-3.275236,634.89465,86.5,-548.39465,623.6
20-11-2020  09,25.59515,23.10194,-2.49321,316.38208,321.9181,5.53602,4.61633,4.978722,0.362392,0,80.8,80.8,568
20-11-2020  10,25.17313,23.70541,-1.46772,300.03528,319.0333,18.99802,5.72997,4.972958,-0.757012,338.38364,65.42,-272.96364,428.1
20-11-2020  11,24.32007,23.67042,-0.64965,307.79446,301.6306,-6.16386,6.9474,5.173972,-1.773428,143.83122,42.89,-100.94122,246.3
20-11-2020  12,23.44321,23.2443,-0.19891,315.14459,291.3944,-23.75019,4.22728,3.811166,-0.416114,0,19.7,19.7,88.1
20-11-2020  13,22.42438,22.06292,-0.36146,310.57022,332.8306,22.26038,2.94667,2.785056,-0.161614,0,7.102,7.102,3.597
20-11-2020  14,21.45358,20.90694,-0.54664,321.64636,325.8889,4.24254,1.75124,2.587653,0.836413,0,6.184,6.184,-2.268
20-11-2020  15,20.70984,19.88597,-0.82387,331.76453,300.4667,-31.29783,1.27944,1.987361,0.707921,0,6.055,6.055,-1.98
20-11-2020  16,20.11093,18.68583,-1.4251,290.91351,292.3875,1.47399,0.73671,2.544694,1.807984,0,5.771,5.771,-2.529
20-11-2020  17,19.40942,17.93139,-1.47803,198.84491,295.8278,96.98289,0.97545,2.612667,1.637217,0,5.431,5.431,-2.532
20-11-2020  18,18.75336,17.58764,-1.16572,252.83023,297.4097,44.57947,0.86665,2.546222,1.679572,0,5.469,5.469,-2.528
20-11-2020  19,18.26321,16.96305,-1.30016,246.93326,296.1861,49.25284,0.76593,2.312111,1.546181,0,5.657,5.657,-2.523
20-11-2020  20,17.74057,15.86542,-1.87515,249.80939,288.243,38.43361,0.82331,2.519528,1.696218,0,5.68,5.68,-2.873
20-11-2020  21,17.3241,14.35972,-2.96438,224.75894,285.1278,60.36886,0.67634,1.939208,1.262868,0,5.792,5.792,-2.696
20-11-2020  22,16.91418,14.69833,-2.21585,283.59439,296.2958,12.70141,0.43248,2.381305,1.948825,0,5.547,5.547,-2.732
20-11-2020  23,16.56967,13.89903,-2.67064,276.20398,283.4625,7.25852,0.46282,2.628889,2.166069,0,5.417,5.417,-2.945
21-11-2020  00,16.16287,12.17222,-3.99065,301.61542,286.0028,-15.61262,1.02594,2.844458,1.818518,0,5.105,5.105,-2.736
21-11-2020  01,15.88785,11.46,-4.42785,302.64343,287.3694,-15.27403,1.53151,2.960444,1.428934,0,4.893,4.893,-2.727
21-11-2020  02,16.10669,11.35625,-4.75044,310.01746,284.907,-25.11046,2.47452,2.609583,0.135063,64.2928,5.039,-59.2538,-0.642
21-11-2020  03,17.61224,11.59486,-6.01738,313.84164,280.0181,-33.82354,3.93994,2.361194,-1.578746,262.31616,13.46,-248.85616,61.26
21-11-2020  04,19.61746,13.52083,-6.09663,317.65088,297.4528,-20.19808,4.8767,2.835222,-2.041478,451.1937,30.49,-420.7037,217.3
21-11-2020  05,21.62607,15.69528,-5.93079,318.16382,295.5667,-22.59712,5.71919,2.552028,-3.167162,600.91376,44.21,-556.70376,386.1
21-11-2020  06,23.30066,18.23583,-5.06483,316.22107,311.4389,-4.78217,6.26123,3.057278,-3.203952,688.69366,72.15,-616.54366,524.2
21-11-2020  07,24.2052,20.45722,-3.74798,320.70776,317.718,-2.98976,7.30957,4.725792,-2.583778,706.35431,85.4,-620.95431,611.3
21-11-2020  08,24.47015,21.91882,-2.55133,326.89447,312.6742,-14.22027,8.35616,6.063483,-2.292677,655.94141,89.5,-566.44141,640.6
21-11-2020  09,24.46176,22.29917,-2.16259,313.39832,288.3583,-25.04002,5.86904,5.667222,-0.201818,0,81.8,81.8,569.9
21-11-2020  10,24.08435,22.51222,-1.57213,311.00232,309.6403,-1.36202,7.98739,5.445056,-2.542334,355.71667,65.97,-289.74667,424
21-11-2020  11,23.25284,22.50236,-0.75048,294.44983,323.8222,29.37237,8.68971,4.798041,-3.891669,153.12509,44.47,-108.65509,252.5
21-11-2020  12,22.55518,21.9825,-0.57268,311.51773,321.6833,10.16557,4.85958,4.136069,-0.723511,0,19.7,19.7,86.7
21-11-2020  13,21.73904,20.81458,-0.92446,304.8728,319.8014,14.9286,3.28772,2.479097,-0.808623,0,7.299,7.299,3.725
21-11-2020  14,20.89694,19.56236,-1.33458,310.39554,286.7417,-23.65384,1.87901,1.857472,-0.021538,0,6.668,6.668,-2.092
21-11-2020  15,20.29803,18.02403,-2.274,333.93958,290.6583,-43.28128,1.12793,2.441764,1.313834,0,6.022,6.022,-2.131
21-11-2020  16,19.68665,17.06125,-2.6254,305.35291,289.6708,-15.68211,1.65006,2.219972,0.569912,0,5.854,5.854,-2.065
21-11-2020  17,19.1409,16.40945,-2.73145,302.11118,289.1708,-12.94038,1.0592,2.405056,1.345856,0,5.667,5.667,-2.331
21-11-2020  18,18.66867,16.10056,-2.56811,280.57535,296.3111,15.73575,1.12326,2.25175,1.12849,0,5.452,5.452,-2.252
21-11-2020  19,17.90771,16.05042,-1.85729,245.32559,318.6694,73.34381,1.04887,2.132375,1.083505,0,5.69,5.69,-1.809
21-11-2020  20,17.43665,15.6843,-1.75235,257.01462,302.3292,45.31458,1.5169,1.709097,0.192197,0,5.581,5.581,-1.737
21-11-2020  21,17.01306,14.57444,-2.43862,265.3512,242.4639,-22.8873,1.5606,0.7771666,-0.7834334,0,5.382,5.382,-0.267
21-11-2020  22,16.66074,13.02042,-3.64032,269.5838,231.9389,-37.6449,1.83824,1.038097,-0.800143,0,5.12,5.12,-1.007
21-11-2020  23,16.28601,13.05292,-3.23309,281.82236,269.8542,-11.96816,2.34096,2.160333,-0.180627,0,4.759,4.759,-2.711
22-11-2020  00,15.75534,11.72167,-4.03367,273.50302,292.5889,19.08588,2.40524,2.594125,0.188885,0,4.686,4.686,-2.677
22-11-2020  01,15.22324,11.02333,-4.19991,267.0614,291.2153,24.1539,2.21607,1.778014,-0.438056,0,5.326,5.326,-2.357
22-11-2020  02,15.0719,11.0382,-4.0337,269.54758,280.4431,10.89552,2.1492,1.191486,-0.957714,61.80497,5.514,-56.29097,-0.293
22-11-2020  03,16.36371,11.67778,-4.68593,285.1319,261.4986,-23.6333,2.4035,1.754319,-0.649181,259.70346,15.02,-244.68346,67.84
22-11-2020  04,18.55289,13.29861,-5.25428,302.41431,269.9667,-32.44761,2.63271,2.373972,-0.258738,449.14722,31.33,-417.81722,227
22-11-2020  05,21.08182,15.51875,-5.56307,308.33453,287.4417,-20.89283,3.04923,2.444153,-0.605077,590.90906,47.14,-543.76906,411.5
22-11-2020  06,23.06775,17.94375,-5.124,310.41116,296.1722,-14.23896,3.91014,2.55525,-1.35489,673.53778,64.59,-608.94778,480.2
22-11-2020  07,23.8443,19.7825,-4.0618,340.68921,323.3264,-17.36281,5.42025,3.568319,-1.851931,685.5929,87.6,-597.9929,647.6
22-11-2020  08,24.65863,21.08916,-3.56947,351.08286,305.7847,-45.29816,6.6213,3.419792,-3.201508,626.00385,81.3,-544.70385,578.2
22-11-2020  09,24.33047,22.17083,-2.15964,313.7323,284.4264,-29.3059,3.33164,3.782944,0.451304,0,76.21,76.21,522.7
22-11-2020  10,24.40439,22.80847,-1.59592,303.94601,241.65,-62.29601,3.77158,4.083875,0.312295,341.8989,65.27,-276.6289,423.6
22-11-2020  11,23.79782,22.94791,-0.84991,301.70718,254.4653,-47.24188,4.50493,3.101736,-1.403194,145.87143,42.76,-103.11143,250.4
22-11-2020  12,22.75424,22.35417,-0.40007,303.40146,312.6681,9.26664,3.22096,2.096306,-1.124654,0,13.89,13.89,62.5
22-11-2020  13,21.97687,20.9843,-0.99257,311.44299,304.5028,-6.94019,1.38839,1.449333,0.060943,0,6.741,6.741,3.806
22-11-2020  14,21.65094,19.98486,-1.66608,296.50189,298.0764,1.57451,0.86799,1.692055,0.824065,0,5.422,5.422,-0.652
22-11-2020  15,21.41962,18.88389,-2.53573,285.694,147.3,-138.394,0.60912,0.8518056,0.2426856,0,5.818,5.818,0.582
22-11-2020  16,20.67566,17.69236,-2.9833,281.4534,184.5972,-96.8562,1.24997,0.3420972,-0.9078728,0,5.366,5.366,0.9
22-11-2020  17,19.70602,17.10014,-2.60588,255.25516,192.4542,-62.80096,1.36064,0.6760834,-0.6845566,0,4.866,4.866,0.709
22-11-2020  18,18.51233,16.06625,-2.44608,258.64703,208.4792,-50.16783,1.33666,0.833111,-0.503549,0,4.612,4.612,0.335
22-11-2020  19,17.74341,14.9618,-2.78161,249.32391,180.8361,-68.48781,1.13701,0.455375,-0.681635,0,5.239,5.239,0.064
22-11-2020  20,17.30225,14.14208,-3.16017,258.46332,149.0333,-109.43002,0.96439,0.4315972,-0.5327928,0,4.467,4.467,0.306
22-11-2020  21,16.82645,13.42056,-3.40589,259.07532,244.6264,-14.44892,0.90138,0.4640416,-0.4373384,0,5.152,5.152,0.666
22-11-2020  22,16.41458,13.34903,-3.06555,207.79047,288.6111,80.82063,0.90585,1.235083,0.329233,0,5.032,5.032,-0.219
22-11-2020  23,16.25949,13.20792,-3.05157,223.76488,291.1472,67.38232,0.97342,1.146111,0.172691,0,4.634,4.634,-1.184
23-11-2020  00,16.04993,12.96583,-3.0841,230.60764,251.7,21.09236,1.30915,1.309736,0.000586,0,4.73,4.73,-1.154
23-11-2020  01,15.96475,12.39292,-3.57183,252.83508,236.975,-15.86008,1.20256,0.6384444,-0.5641156,0,4.266,4.266,-0.251
23-11-2020  02,15.95203,12.08583,-3.8662,238.46777,252.6986,14.23083,1.09053,0.6790694,-0.4114606,55.65609,4.778,-50.87809,1.811
23-11-2020  03,17.62659,12.70667,-4.91992,264.90778,238.1194,-26.78838,1.3954,0.7834722,-0.6119278,245.34669,12.88,-232.46669,59.08
23-11-2020  04,19.34561,14.48889,-4.85672,272.0571,293.8583,21.8012,1.63736,1.132806,-0.504554,431.5332,26.71,-404.8232,204.2
23-11-2020  05,21.75906,18.11528,-3.64378,260.72504,234.4875,-26.23754,0.28626,0.7905972,0.5043372,574.95813,42.2,-532.75813,364
23-11-2020  06,23.5798,21.22458,-2.35522,321.2662,219.7944,-101.4718,1.22048,0.7834861,-0.4369939,656.42596,68.59,-587.83596,483.2
23-11-2020  07,25.03622,22.76597,-2.27025,303.03473,206.0083,-97.02643,0.65985,1.010361,0.350511,682.15515,70.52,-611.63515,513.6
23-11-2020  08,26.12991,23.46778,-2.66213,178.78909,211.9375,33.14841,0.41728,1.093153,0.675873,619.85229,69.37,-550.48229,498.2
23-11-2020  09,25.72424,23.38292,-2.34132,177.45718,246.7458,69.28862,0.69998,1.449486,0.749506,0,52.72,52.72,368.7
23-11-2020  10,25.60242,23.93153,-1.67089,203.05444,202.7681,-0.28634,2.15387,1.129375,-1.024495,329.77756,46.02,-283.75756,295.8
23-11-2020  11,25.26575,23.93167,-1.33408,224.95142,279.125,54.17358,2.26069,1.388569,-0.872121,131.79092,38.29,-93.50092,224.3
23-11-2020  12,23.9744,23.0843,-0.8901,190.44395,26.69583,-163.74812,3.00513,1.412583,-1.592547,0,16.81,16.81,72.83
23-11-2020  13,22.9845,21.69847,-1.28603,271.33344,91.84028,-179.49316,1.5655,1.408708,-0.156792,0,6.228,6.228,5.444
23-11-2020  14,22.59705,19.74417,-2.85288,354.82031,86.06666,-268.75365,1.25832,1.208181,-0.050139,0,4.954,4.954,-0.364
23-11-2020  15,22.04727,19.10819,-2.93908,27.16188,98.08334,70.92146,1.21768,1.094083,-0.123597,0,5.351,5.351,1.092
23-11-2020  16,21.40784,18.40903,-2.99881,51.57564,83.54722,31.97158,1.17767,1.043778,-0.133892,0,4.915,4.915,-0.314
23-11-2020  17,20.61462,17.17,-3.44462,89.8514,87.50417,-2.34723,1.22401,0.9295416,-0.2944684,0,4.948,4.948,0.562
23-11-2020  18,19.49112,16.56347,-2.92765,137.54785,116.4833,-21.06455,0.98246,0.9257778,-0.0566822,0,4.371,4.371,0.268
23-11-2020  19,19.68625,15.53486,-4.15139,192.34332,127.7042,-64.63912,0.71473,0.7870555,0.0723255,0,4.037,4.037,0.068
23-11-2020  20,18.48407,15.42458,-3.05949,271.89175,180.9083,-90.98345,0.53306,0.6241388,0.0910788,0,4.783,4.783,-0.203
23-11-2020  21,18.29431,14.67375,-3.62056,244.01233,127.8125,-116.19983,0.54042,0.6345694,0.0941494,0,4.508,4.508,0.353
23-11-2020  22,18.02625,14.48958,-3.53667,135.24951,176.375,41.12549,0.81154,0.6458889,-0.1656511,0,3.943,3.943,0.252
23-11-2020  23,17.7142,13.64778,-4.06642,137.76891,146.1347,8.36579,1.00488,0.4969166,-0.5079634,0,4.446,4.446,-0.071
24-11-2020  00,17.07877,12.71361,-4.36516,130.3125,106.1944,-24.1181,1.14779,0.5892638,-0.5585262,0,3.825,3.825,0.065
24-11-2020  01,16.95038,12.78875,-4.16163,131.34665,87.325,-44.02165,1.28915,1.323028,0.033878,0,3.512,3.512,-0.154
24-11-2020  02,17.02618,13.17667,-3.84951,120.75693,153.4778,32.72087,1.37994,0.6979027,-0.6820373,43.82405,4.377,-39.44705,2.156
24-11-2020  03,18.44879,14.14556,-4.30323,127.51962,197.2139,69.69428,0.45776,0.5834722,0.1257122,172.24908,11.84,-160.40908,55.28
24-11-2020  04,20.53922,16.2593,-4.27992,145.51923,210.6889,65.16967,0.73948,0.6150417,-0.1244383,358.15912,22.45,-335.70912,176.3
24-11-2020  05,22.46097,19.15097,-3.31,154.51083,251.3069,96.79607,0.77985,0.9224026,0.1425526,472.93457,38.99,-433.94457,330
24-11-2020  06,23.96378,21.34514,-2.61864,156.28365,225.9264,69.64275,0.62757,1.410514,0.782944,571.85553,62.39,-509.46553,423.2
24-11-2020  07,25.01996,23.32319,-1.69677,178.53299,186.9639,8.43091,1.99778,1.201181,-0.796599,539.6405,74.21,-465.4305,529.4
24-11-2020  08,25.58994,23.45833,-2.13161,143.06873,195.8486,52.77987,1.76004,1.420806,-0.339234,500.16714,43.38,-456.78714,293.6
24-11-2020  09,25.11176,23.48458,-1.62718,65.59156,192.8194,127.22784,1.07846,1.533375,0.454915,0,54.11,54.11,364.1
24-11-2020  10,25.02283,23.91041,-1.11242,213.02023,150.7153,-62.30493,0.15401,1.014778,0.860768,215.75378,29.27,-186.48378,186
24-11-2020  11,24.70877,22.92972,-1.77905,149.74071,58.27083,-91.46988,0.7912,1.863653,1.072453,77.42645,14.37,-63.05645,80.5
24-11-2020  12,23.52942,22.37111,-1.15831,176.70865,105.2875,-71.42115,2.59554,1.706875,-0.888665,0,8.46,8.46,35.14
24-11-2020  13,22.64529,21.34972,-1.29557,258.91141,113.9292,-144.98221,1.40698,1.455361,0.048381,0,5.001,5.001,3.092
24-11-2020  14,22.2645,19.53861,-2.72589,157.9996,81.12083,-76.87877,0.92496,1.629347,0.704387,0,4.251,4.251,-0.62
24-11-2020  15,21.41833,18.29903,-3.1193,113.83828,63.68889,-50.14939,1.55377,1.061153,-0.492617,0,4.952,4.952,-0.389
24-11-2020  16,20.90668,17.61833,-3.28835,105.94664,101.4361,-4.51054,1.85286,1.618625,-0.234235,0,4.356,4.356,-0.288
24-11-2020  17,20.4082,16.70194,-3.70626,110.34521,110.4292,0.08399,1.80335,1.022639,-0.780711,0,4.552,4.552,-0.074
24-11-2020  18,19.91931,16.7218,-3.19751,111.62364,118.1792,6.55556,1.81001,1.444889,-0.365121,0,3.581,3.581,-0.383
24-11-2020  19,19.52426,16.9525,-2.57176,108.49392,114.5806,6.08668,1.86075,1.17332,-0.68743,0,2.706,2.706,-0.005
24-11-2020  20,19.19379,16.43444,-2.75935,102.86936,122.0236,19.15424,1.64635,1.566556,-0.079794,0,2.696,2.696,-0.654
25-11-2020  09,25.14294,22.07694,-3.066,58.70399,114.1083,55.40431,2.36059,2.287542,-0.073048,0,24.06,24.06,154.1
25-11-2020  10,24.8187,21.58861,-3.23009,66.98293,93.79583,26.8129,3.70295,2.830667,-0.872283,141.48489,13.01,-128.47489,81.5
25-11-2020  11,24.42209,21.32069,-3.1014,33.91341,45.08889,11.17548,3.51031,1.774458,-1.735852,90.194,11.27,-78.924,63.27
25-11-2020  12,23.41083,20.75972,-2.65111,52.37152,54.40694,2.03542,3.80358,1.982736,-1.820844,0,9.89,9.89,41.14
25-11-2020  13,22.59811,19.51028,-3.08783,50.82913,57.45,6.62087,3.4618,2.201472,-1.260328,0,4.339,4.339,2.1
25-11-2020  14,21.84863,18.73097,-3.11766,51.21928,72.80278,21.5835,2.68457,2.90993,0.22536,0,3.205,3.205,-0.951
25-11-2020  15,21.16263,18.16014,-3.00249,56.96892,83.27222,26.3033,2.89727,3.270625,0.373355,0,3.04,3.04,-1.067
25-11-2020  16,20.49545,18.13986,-2.35559,57.0545,90.15834,33.10384,2.33267,3.664694,1.332024,0,3.109,3.109,-1.379
25-11-2020  17,19.89896,17.99458,-1.90438,48.14386,95.74722,47.60336,2.45289,3.088541,0.635651,0,3.511,3.511,-1.602
25-11-2020  18,19.41318,17.73847,-1.67471,47.87827,104.1681,56.28983,2.62937,1.983958,-0.645412,0,3.044,3.044,-0.831
25-11-2020  19,18.98062,17.42861,-1.55201,41.42929,134.4639,93.03461,2.14736,0.8708334,-1.2765266,0,2.73,2.73,-0.014
25-11-2020  20,18.59128,16.9493,-1.64198,31.81273,198.157,166.34427,2.58734,0.9678888,-1.6194512,0,2.584,2.584,-0.392
25-11-2020  21,18.21375,17.01361,-1.20014,22.71448,262.9528,240.23832,2.31128,2.02118,-0.2901,0,2.063,2.063,-0.599
25-11-2020  22,17.88876,16.57861,-1.31015,16.55974,149.5306,132.97086,2.64884,2.313764,-0.335076,0,2.752,2.752,-1.366
25-11-2020  23,17.5936,16.27472,-1.31888,16.85814,221.2639,204.40576,2.64202,0.8548472,-1.7871728,0,2.412,2.412,-0.25
26-11-2020  00,17.35654,16.47972,-0.87682,11.16081,162.1278,150.96699,2.38125,0.8037917,-1.5774583,0,1.913,1.913,0.009
26-11-2020  01,17.18109,16.12625,-1.05484,11.64015,76.26389,64.62374,2.47523,1.104556,-1.370674,0,2.499,2.499,-0.631
26-11-2020  02,17.24777,15.66875,-1.57902,9.8295,45.33333,35.50383,2.59171,1.638375,-0.953335,41.52746,3.689,-37.83846,-0.709
26-11-2020  03,18.64053,15.74014,-2.90039,15.92355,36.48472,20.56117,3.50795,1.672486,-1.835464,197.98671,7.704,-190.28271,31.36
26-11-2020  04,20.65228,17.07431,-3.57797,17.98177,50.06806,32.08629,3.79882,2.612361,-1.186459,358.43011,21.56,-336.87011,165.9
26-11-2020  05,22.64575,18.94778,-3.69797,8.87209,60.425,51.55291,4.21054,4.206666,-0.003874,495.8407,40.99,-454.8507,334.5
26-11-2020  06,24.0939,20.55569,-3.53821,10.35429,61.44861,51.09432,5.0649,3.600861,-1.464039,593.01965,66.52,-526.49965,474.8
26-11-2020  07,25.05725,22.15472,-2.90253,359.26575,55.93611,-303.32964,5.82346,2.413569,-3.409891,610.2309,72.47,-537.7609,553.5
26-11-2020  08,25.88608,22.92416,-2.96192,347.74713,76.4875,-271.25963,4.92888,3.045972,-1.882908,559.72504,73.96,-485.76504,555.4
26-11-2020  09,25.53998,23.67416,-1.86582,20.49915,131.9042,111.40505,2.0854,2.629139,0.543739,0,68.25,68.25,496.4
26-11-2020  10,25.3381,24.12,-1.2181,339.23419,111.9097,-227.32449,2.27394,2.628333,0.354393,282.37823,54.43,-227.94823,375.8
26-11-2020  11,25.09711,24.04111,-1.056,12.29378,79.32778,67.034,2.57038,2.976694,0.406314,105.79225,33.23,-72.56225,205
26-11-2020  12,24.00327,23.61847,-0.3848,345.06091,71.92083,-273.14008,4.79188,2.645278,-2.146602,0,16.07,16.07,76.03
26-11-2020  13,22.85446,22.48833,-0.36613,345.34747,140.2597,-205.08777,3.73548,2.920097,-0.815383,0,6.136,6.136,3.103
26-11-2020  14,21.75613,21.47028,-0.28585,344.97125,285.925,-59.04625,3.12892,3.055069,-0.073851,0,5.075,5.075,-2.075
26-11-2020  15,20.90112,20.4043,-0.49682,335.71713,252.8833,-82.83383,2.82037,3.762153,0.941783,0,4.594,4.594,-2.429
26-11-2020  16,20.18787,19.47944,-0.70843,344.96381,241.0958,-103.86801,2.84086,2.889139,0.048279,0,4.937,4.937,-2.462
26-11-2020  17,19.59161,18.90333,-0.68828,338.6734,227.3222,-111.3512,2.91631,2.478639,-0.437671,0,5.183,5.183,-2.412
26-11-2020  18,19.03735,18.51305,-0.5243,335.21588,332.1819,-3.03398,2.71511,3.191861,0.476751,0,4.485,4.485,-2.597
26-11-2020  19,18.57489,17.98486,-0.59003,330.5802,331.5569,0.9767,2.56034,2.670625,0.110285,0,4.81,4.81,-2.593
26-11-2020  20,18.11481,17.43236,-0.68245,323.10699,203.6403,-119.46669,2.67128,2.402542,-0.268738,0,5.127,5.127,-2.499
26-11-2020  21,17.64182,16.37486,-1.26696,321.72318,193.1417,-128.58148,2.96596,2.129847,-0.836113,0,5.212,5.212,-2.375
26-11-2020  22,17.18491,15.73889,-1.44602,318.55386,319.8556,1.30174,3.04639,2.336097,-0.710293,0,4.761,4.761,-2.536
26-11-2020  23,16.85703,15.20125,-1.65578,318.15857,313.7681,-4.39047,3.03672,2.019986,-1.016734,0,4.945,4.945,-2.429
27-11-2020  00,16.62204,14.35722,-2.26482,317.09299,296.6931,-20.39989,2.76846,2.252847,-0.515613,0,4.765,4.765,-2.436
27-11-2020  01,16.42725,12.93153,-3.49572,307.2923,285.1555,-22.1368,2.47382,2.757833,0.284013,0,4.469,4.469,-2.543
27-11-2020  02,16.3645,12.36542,-3.99908,305.48181,272.6639,-32.81791,2.86164,2.206153,-0.655487,45.35004,4.689,-40.66104,-1.386
27-11-2020  03,17.47043,12.36458,-5.10585,314.03345,275.2139,-38.81955,3.20966,2.044042,-1.165618,224.97531,13.01,-211.96531,62.17
27-11-2020  04,19.29071,13.63514,-5.65557,314.8638,277.5083,-37.3555,3.19601,2.343292,-0.852718,407.68851,28.02,-379.66851,222.7
27-11-2020  05,21.6879,15.2693,-6.4186,318.23715,289.0056,-29.23155,3.09352,3.093472,-0.000048,551.92548,45.12,-506.80548,394
27-11-2020  06,24.07452,18.16736,-5.90716,317.19696,309.0014,-8.19556,3.37334,3.065111,-0.308229,637.09656,71.87,-565.22656,537.4
27-11-2020  07,26.05563,20.8475,-5.20813,312.45062,311.9055,-0.54512,3.31907,3.010569,-0.308501,655.76868,81.4,-574.36868,618
27-11-2020  08,26.39163,22.93972,-3.45191,315.81195,289.9958,-25.81615,5.88352,3.370972,-2.512548,605.72369,83,-522.72369,623.7
27-11-2020  09,25.32755,24.15208,-1.17547,320.13547,310.907,-9.22847,3.54065,3.470555,-0.070095,0,76.87,76.87,557.4
27-11-2020  10,25.37335,24.88736,-0.48599,315.31601,325.0528,9.73679,5.88949,4.087,-1.80249,328.05368,63.23,-264.82368,422.8
27-11-2020  11,24.90109,25.06472,0.16363,320.02472,322.3528,2.32808,4.33718,3.828944,-0.508236,137.71111,43.45,-94.26111,258.6
27-11-2020  12,23.70792,24.53375,0.82583,324.37091,313.1639,-11.20701,3.19977,2.933514,-0.266256,0,19.08,19.08,87.1
